useDate,실제,부분모델_예측,통모델_예측
2023-08-08 09:00:00,2450.2999999999843,2474.966648151484,2531.756082532861
2023-08-08 10:00:00,8335.600000000111,8018.555239179386,8257.644672697843
2023-08-08 11:00:00,9182.899999999878,9097.358963974864,9161.136966179449
2023-08-08 12:00:00,7831.800000000079,9490.812190968858,9615.292441431162
2023-08-08 13:00:00,5404.399999999982,6597.289042462347,6565.5138043283805
2023-08-08 14:00:00,7167.700000000052,8152.8185236903955,8732.889803446364
2023-08-08 15:00:00,9503.500000000013,8333.334620810443,8838.932266279153
2023-08-08 16:00:00,8015.00000000001,7842.581965306848,8255.920897741591
2023-08-08 17:00:00,8724.899999999929,8980.200575427945,9045.523511174859
2023-08-08 18:00:00,5656.30000000001,5521.076306583005,5478.217721715563
2023-08-09 09:00:00,2312.90000000006,2891.2082905690095,2961.351598017481
2023-08-09 10:00:00,5679.199999999876,8049.388251068066,8398.815329622486
2023-08-09 11:00:00,7854.700000000182,8432.27323692749,8895.584215000586
2023-08-09 12:00:00,7831.799999999997,8235.723547970296,8406.560714993684
2023-08-09 13:00:00,5770.799999999857,6044.147460777261,6275.625330975661
2023-08-09 14:00:00,7282.2000000002145,7320.063679301426,7328.328535398612
2023-08-09 15:00:00,8015.0,7564.377096890058,7388.931837360222
2023-08-09 16:00:00,5999.799999999812,7125.2180546771,7164.384453526991
2023-08-09 17:00:00,7076.100000000063,7812.05001129937,7672.6656399063995
2023-08-09 18:00:00,5633.400000000025,5853.244684931612,5684.44686371936
2023-08-10 09:00:00,1557.1999999999568,2598.984410572307,2554.0693309653216
2023-08-10 10:00:00,4053.300000000088,7445.883126821109,7228.969031846164
2023-08-10 11:00:00,6869.999999999971,9033.000750295549,8986.074712784874
2023-08-10 12:00:00,6503.6000000000695,8726.800688993695,8695.883847020454
2023-08-10 13:00:00,5266.999999999864,4956.730586587445,5129.1085452118095
2023-08-10 14:00:00,6801.300000000098,6933.619222615477,6964.301833987231
2023-08-10 15:00:00,7717.299999999948,7296.461580929799,7389.9161325591
2023-08-10 16:00:00,7786.000000000088,6811.975651980134,6747.640954815282
2023-08-10 17:00:00,8908.100000000019,7983.900056790918,7767.958460035578
2023-08-10 18:00:00,6274.599999999907,6044.714460442577,6023.70095426903
2023-08-11 09:00:00,2541.89999999996,2435.5830397186364,2838.279933246674
2023-08-11 10:00:00,8816.500000000071,8316.23096313555,8221.117154276642
2023-08-11 11:00:00,8381.399999999894,8959.558484913836,9137.338213175677
2023-08-11 12:00:00,8129.500000000169,8560.242013815758,8554.477506269879
2023-08-11 13:00:00,5999.7999999999065,5875.704867139421,6168.58466975462
2023-08-11 14:00:00,7694.400000000047,7744.054690136287,7987.253642580564
2023-08-11 15:00:00,8885.199999999795,8090.026841618226,8450.857385162828
2023-08-11 16:00:00,8335.600000000095,7140.913076766116,7148.014102052608
2023-08-11 17:00:00,9068.400000000123,8503.406157880108,8995.62413523724
2023-08-11 18:00:00,6824.19999999999,5814.833008020923,5999.43724416816
2023-08-12 09:00:00,6457.800000000037,1979.4191019333348,2250.84522224437
2023-08-12 10:00:00,11037.799999999945,7023.227806562525,7261.54755461259
2023-08-12 11:00:00,10144.700000000052,9478.548348320915,10347.937995681212
2023-08-12 12:00:00,8633.300000000108,8938.537985425715,9585.296722095201
2023-08-12 13:00:00,6343.299999999926,5744.555282486244,5948.905207519892
2023-08-12 14:00:00,8450.099999999962,7123.164693412356,7357.997375362309
2023-08-12 15:00:00,8083.699999999892,6747.3068791485,6648.905162500187
2023-08-12 16:00:00,6641.000000000026,5573.152264776129,5660.527484664883
2023-08-12 17:00:00,6663.900000000122,6461.495747957762,6339.044243111058
2023-08-12 18:00:00,5496.000000000014,4669.690546540338,4884.689976159638
2023-08-13 09:00:00,1602.9999999998956,1561.5193760307902,1705.7477260537003
2023-08-13 10:00:00,5931.100000000105,4178.916809753874,4240.008955065503
2023-08-13 11:00:00,7373.799999999965,5953.069582027111,6370.9487051705855
2023-08-13 12:00:00,6205.900000000057,5672.378420514706,5849.672096763683
2023-08-13 13:00:00,4007.50000000002,4075.8553376201035,4208.377700874164
2023-08-13 14:00:00,6022.699999999781,5656.191216943413,5732.135828810753
2023-08-13 15:00:00,6068.500000000097,5437.782276339474,5556.489423817557
2023-08-13 16:00:00,5312.800000000017,5105.347140943387,5092.985201815945
2023-08-13 17:00:00,6457.800000000095,5366.650577388458,5470.886183409561
2023-08-13 18:00:00,4808.999999999986,4068.5281701755275,4002.4608548074525
2023-10-16 09:00:00,2129.7000000000157,1807.185303525735,1804.2414259611596
2023-10-16 10:00:00,4419.700000000263,4449.38932657928,4608.954111795214
2023-10-16 11:00:00,5495.999999999636,4574.5683029905085,4571.00759816945
2023-10-16 12:00:00,6251.7000000003145,4472.1188498261,4391.209138629187
2023-10-16 13:00:00,5931.099999999942,3409.339415436889,3655.037767688593
2023-10-16 14:00:00,5999.800000000192,3729.2305855283175,3924.8288713176926
2023-10-16 15:00:00,6618.099999999696,4287.223170968851,4311.600092036864
2023-10-16 16:00:00,6205.900000000188,3903.07945871649,4097.801894234855
2023-10-16 17:00:00,5793.699999999807,3812.0298146545033,3824.403413979049
2023-10-16 18:00:00,3618.200000000328,3173.724100899397,3274.381633278856
2023-10-17 09:00:00,1969.4000000001352,1832.3394609933073,1827.104946284193
2023-10-17 10:00:00,4099.099999999721,4416.646075919243,4572.479557274497
2023-10-17 11:00:00,6572.300000000414,5284.999488220272,5194.93177657278
2023-10-17 12:00:00,6618.099999999552,5499.247987372792,5383.219096973199
