useDate,실제,부분모델_예측,통모델_예측
2023-08-08 09:00:00,2450.2999999999843,2775.190365278242,3031.5305499815568
2023-08-08 10:00:00,8335.600000000111,8495.077107942394,8262.077510230658
2023-08-08 11:00:00,9182.899999999878,8674.581874189613,9080.467001480845
2023-08-08 12:00:00,7831.800000000079,9255.21222355964,9518.932536746808
2023-08-08 13:00:00,5404.399999999982,6488.151316211411,6937.554462844001
2023-08-08 14:00:00,7167.700000000052,7664.468190499098,8643.305686714473
2023-08-08 15:00:00,9503.500000000013,7800.650008281311,8422.519657571724
2023-08-08 16:00:00,8015.00000000001,7282.014006466189,8033.936651450522
2023-08-08 17:00:00,8724.899999999929,7914.267795586228,8199.338110018147
2023-08-08 18:00:00,5656.30000000001,6095.422478160562,5848.3996773814515
2023-08-09 09:00:00,2312.90000000006,2583.140033857614,2629.2394262654134
2023-08-09 10:00:00,5679.199999999876,7791.904931246056,7669.95598895733
2023-08-09 11:00:00,7854.700000000182,8193.006713084003,8411.756954964821
2023-08-09 12:00:00,7831.799999999997,8358.449068598113,8436.492532052893
2023-08-09 13:00:00,5770.799999999857,5775.808815609926,5940.240665033731
2023-08-09 14:00:00,7282.2000000002145,7332.835338873707,7476.0758727981665
2023-08-09 15:00:00,8015.0,7650.542675665389,7568.249330431863
2023-08-09 16:00:00,5999.799999999812,7383.692350494893,7093.0362468009525
2023-08-09 17:00:00,7076.100000000063,7706.1083073517475,7630.224045940279
2023-08-09 18:00:00,5633.400000000025,5804.77029641303,5496.98734227968
2023-08-10 09:00:00,1557.1999999999568,2838.0911598402436,2825.1197585175905
2023-08-10 10:00:00,4053.300000000088,8413.111303875856,8209.15749644003
2023-08-10 11:00:00,6869.999999999971,9098.172001435141,9009.95977808016
2023-08-10 12:00:00,6503.6000000000695,8608.89053169997,8414.371176466486
2023-08-10 13:00:00,5266.999999999864,5735.468406628416,5592.4916914524365
2023-08-10 14:00:00,6801.300000000098,7448.592105686166,6980.252290723598
2023-08-10 15:00:00,7717.299999999948,7278.569868412969,7068.690334179684
2023-08-10 16:00:00,7786.000000000088,7551.501034538152,7129.299362245352
2023-08-10 17:00:00,8908.100000000019,7822.288762629643,7952.039764496595
2023-08-10 18:00:00,6274.599999999907,6063.669313094003,5962.004663420446
2023-08-11 09:00:00,2541.89999999996,2566.2668947160505,2675.5553726894955
2023-08-11 10:00:00,8816.500000000071,8346.955641634282,8201.431315407312
2023-08-11 11:00:00,8381.399999999894,9213.728789415436,8696.469141786507
2023-08-11 12:00:00,8129.500000000169,8934.304176892208,9710.354863876224
2023-08-11 13:00:00,5999.7999999999065,6336.783694986885,7084.012540421853
2023-08-11 14:00:00,7694.400000000047,7734.960077813925,8154.720401089027
2023-08-11 15:00:00,8885.199999999795,7460.674628288864,6988.9341955974905
2023-08-11 16:00:00,8335.600000000095,7094.77710382254,6590.506833923006
2023-08-11 17:00:00,9068.400000000123,7649.185052482642,7391.925865972798
2023-08-11 18:00:00,6824.19999999999,5741.916719376781,5799.300033862014
2023-08-12 09:00:00,6457.800000000037,1741.741203543291,1692.0379286460495
2023-08-12 10:00:00,11037.799999999945,6752.444971889792,7438.587310251911
2023-08-12 11:00:00,10144.700000000052,8640.708372795878,9516.270349256043
2023-08-12 12:00:00,8633.300000000108,7967.627677734548,9375.192251507306
2023-08-12 13:00:00,6343.299999999926,5417.798471589559,6357.14280951391
2023-08-12 14:00:00,8450.099999999962,6731.85812673704,7404.588090206185
2023-08-12 15:00:00,8083.699999999892,7032.65468884009,6972.49819784578
2023-08-12 16:00:00,6641.000000000026,6206.6856440570045,6021.344620988706
2023-08-12 17:00:00,6663.900000000122,6620.545648345141,7214.330336114837
2023-08-12 18:00:00,5496.000000000014,5005.2768893795965,5378.843609214885
2023-08-13 09:00:00,1602.9999999998956,1362.9518752570602,1421.396971360028
2023-08-13 10:00:00,5931.100000000105,4773.853334141114,4967.607715138355
2023-08-13 11:00:00,7373.799999999965,5665.689382329257,5788.569356707589
2023-08-13 12:00:00,6205.900000000057,5488.005528213425,5614.132268832078
2023-08-13 13:00:00,4007.50000000002,4058.362040217283,4229.660417393936
2023-08-13 14:00:00,6022.699999999781,5454.636941929461,5220.448092918438
2023-08-13 15:00:00,6068.500000000097,5354.964824003901,5311.623690763386
2023-08-13 16:00:00,5312.800000000017,5103.4580018771485,4772.117517661575
2023-08-13 17:00:00,6457.800000000095,5208.385674326717,4906.55111368064
2023-08-13 18:00:00,4808.999999999986,4111.062380712423,4395.561788999025
2023-10-16 09:00:00,2129.7000000000157,1886.9515151634594,1873.307205053617
2023-10-16 10:00:00,4419.700000000263,4404.1073743461675,4306.905500719529
2023-10-16 11:00:00,5495.999999999636,4810.473224001491,4708.858247222063
2023-10-16 12:00:00,6251.7000000003145,4697.006674053308,4570.985424435195
2023-10-16 13:00:00,5931.099999999942,3642.4618870538025,3633.683145436777
2023-10-16 14:00:00,5999.800000000192,4337.427515575252,4562.340478183325
2023-10-16 15:00:00,6618.099999999696,4414.715854793449,4887.971202856699
2023-10-16 16:00:00,6205.900000000188,4071.152522972611,4552.587244444499
2023-10-16 17:00:00,5793.699999999807,4046.4540781264295,4273.277373080904
2023-10-16 18:00:00,3618.200000000328,3559.8326621348233,3540.1240959838933
2023-10-17 09:00:00,1969.4000000001352,1838.561053846695,1732.3775833410568
2023-10-17 10:00:00,4099.099999999721,4379.974400712766,3964.7615834815415
2023-10-17 11:00:00,6572.300000000414,5078.992118522199,4664.739280305924
2023-10-17 12:00:00,6618.099999999552,5207.817182754188,4817.520318153615
